Step,Temp,f_TempAve,Press,f_PressAve,f_PEAve_Mol,f_DensAve
0,447.00931,447.00931,26882.499,26882.499,0.37853313,1.0041659
10,1181.4239,1181.4239,2761.3812,2761.3812,-5.0315308,1.0009465
20,1132.3673,1132.3673,3346.4718,3346.4718,-5.1615452,0.99614581
30,1052.8271,1052.8271,5143.426,5143.426,-5.1771789,0.99176565
40,1009.6273,1009.6273,6109.5353,6109.5353,-5.4142285,0.98759758
50,960.34249,960.34249,6656.8168,6656.8168,-5.6155397,0.98344313
60,926.22644,926.22644,6588.6434,6588.6434,-5.9020244,0.97909903
70,889.45998,889.45998,6171.9144,6171.9144,-6.1557919,0.97455526
80,849.74789,849.74789,5495.2952,5495.2952,-6.376508,0.97002677
90,803.47426,803.47426,5175.4541,5175.4541,-6.5332307,0.96576932
100,773.11575,773.11575,4564.124,4564.124,-6.7611497,0.96186192
110,733.20871,733.20871,4180.505,4180.505,-6.9129125,0.95833347
120,704.44572,704.44572,3755.5949,3755.5949,-7.1055418,0.95512424
130,671.08401,671.08401,3524.8635,3524.8635,-7.2508674,0.95217173
140,648.88124,648.88124,3120.5607,3120.5607,-7.4406934,0.94941338
150,620.60212,620.60212,2769.8768,2769.8768,-7.5789748,0.94684566
160,593.75707,593.75707,2361.5284,2361.5284,-7.7088722,0.94448258
170,578.86563,578.86563,1858.8478,1858.8478,-7.8927582,0.94233288
180,558.80645,558.80645,1583.3695,1583.3695,-8.0329301,0.94040539
190,539.63586,539.63586,1209.3934,1209.3934,-8.1655702,0.93868868
200,521.74055,521.74055,889.20251,889.20251,-8.2907874,0.93718057
210,503.81727,503.81727,629.35625,629.35625,-8.405092,0.93587995
220,490.22572,490.22572,298.8024,298.8024,-8.5333258,0.93478502
230,478.88577,478.88577,-2.2410857,-2.2410857,-8.6644928,0.93390284
240,464.24566,464.24566,-42.479515,-42.479515,-8.7672935,0.93323514
250,455.17772,455.17772,-222.36188,-222.36188,-8.8944399,0.93274027
260,439.88203,439.88203,-269.67681,-269.67681,-8.9753447,0.93240545
270,433.05067,433.05067,-465.03407,-465.03407,-9.1001733,0.93222308
280,423.79162,423.79162,-473.11301,-473.11301,-9.2034741,0.93219781
290,411.9259,411.9259,-562.53219,-562.53219,-9.2843175,0.93230446
300,403.30855,403.30855,-793.51642,-793.51642,-9.3776846,0.93254966
310,398.2312,398.2312,-948.77633,-948.77633,-9.4854042,0.9329613
320,388.5107,388.5107,-900.87708,-900.87708,-9.5593121,0.93354111
330,384.72669,384.72669,-861.71746,-861.71746,-9.6647734,0.93425862
340,377.16303,377.16303,-865.36321,-865.36321,-9.7424896,0.9350811
350,370.33162,370.33162,-791.01627,-791.01627,-9.819412,0.93598596
360,359.40286,359.40286,-766.02513,-766.02513,-9.8661787,0.93694512
370,361.42754,361.42754,-1100.7871,-1100.7871,-9.9863789,0.93795729
380,351.28135,351.28135,-1153.542,-1153.542,-10.029271,0.93907089
390,349.13845,349.13845,-1196.7316,-1196.7316,-10.114965,0.94028345
400,344.79183,344.79183,-1218.5139,-1218.5139,-10.184189,0.94158099
410,338.45491,338.45491,-1178.5646,-1178.5646,-10.237334,0.94294255
420,332.88276,332.88276,-1115.6821,-1115.6821,-10.291326,0.94434152
430,329.82447,329.82447,-1120.1863,-1120.1863,-10.356622,0.94575098
440,329.15808,329.15808,-1130.6208,-1130.6208,-10.433097,0.94715933
450,324.82328,324.82328,-916.29626,-916.29626,-10.484367,0.94854758
460,323.16896,323.16896,-966.79551,-966.79551,-10.548856,0.94987354
470,320.58325,320.58325,-994.91458,-994.91458,-10.604884,0.95115181
480,316.8252,316.8252,-1086.0687,-1086.0687,-10.651457,0.95240584
490,311.02584,311.02584,-940.67819,-940.67819,-10.682649,0.95365561
500,310.18269,310.18269,-994.31558,-994.31558,-10.739522,0.9548806
510,305.52647,305.52647,-939.65687,-939.65687,-10.770285,0.95608938
520,306.30493,306.30493,-1079.1663,-1079.1663,-10.830127,0.95728415
530,301.41347,301.41347,-911.79408,-911.79408,-10.853287,0.95848754
540,300.80581,300.80581,-1087.0027,-1087.0027,-10.898061,0.9596747
550,299.42613,299.42613,-1209.4467,-1209.4467,-10.934617,0.96087594
560,297.2241,297.2241,-1243.3296,-1243.3296,-10.962897,0.96212305
570,294.50158,294.50158,-1107.1836,-1107.1836,-10.984384,0.96341192
580,294.10325,294.10325,-1031.6423,-1031.6423,-11.016251,0.96470399
590,294.36468,294.36468,-936.51021,-936.51021,-11.048907,0.96597567
600,294.94209,294.94209,-922.74805,-922.74805,-11.080127,0.9672077
610,292.70639,292.70639,-790.24484,-790.24484,-11.092129,0.96840008
620,290.37187,290.37187,-608.55287,-608.55287,-11.100539,0.96953214
630,290.90292,290.90292,-677.133,-677.133,-11.122029,0.97057894
640,290.92159,290.92159,-699.74284,-699.74284,-11.136939,0.9715732
650,288.19644,288.19644,-566.81056,-566.81056,-11.132086,0.97253192
660,292.49919,292.49919,-632.31498,-632.31498,-11.165248,0.97344309
670,294.42496,294.42496,-611.55424,-611.55424,-11.181735,0.97433033
680,294.949,294.949,-412.74899,-412.74899,-11.187945,0.97518912
690,295.73189,295.73189,-266.99072,-266.99072,-11.193912,0.97597768
700,298.48823,298.48823,-337.6363,-337.6363,-11.210519,0.97668324
710,295.43554,295.43554,-215.26209,-215.26209,-11.191677,0.97732885
720,299.35569,299.35569,-201.93331,-201.93331,-11.213678,0.97790824
